biomass_info1,biomass_info2,biomass_info3,biomass_ucode
ASH_MR AzCr 103 MD V6,Azo-in  Par-N  Non-S,11 Jun 2019,A00039
ASH_MR AzCr 104 MD V6,Azo-in  Par-N  Full-S,11 Jun 2019,A00040
ASH_MR AzCr 105 MD V6,Azo-in  Non-N  Full-S,11 Jun 2019,A00041
ASH_MR AzCr 106 MD V6,Non-in  Non-N  Full-S,11 Jun 2019,A00042
ASH_MR AzCr 107 MD V6,Non-in  Par-N  Non-S,11 Jun 2019,A00043
ASH_MR AzCr 108 MD V6,Non-in  Par-N  Full-S,11 Jun 2019,A00044
ASH_MR AzCr 109 MD V6,Azo-in  Full-N  Full-S,11 Jun 2019,A00045
ASH_MR AzCr 110 MD V6,Azo-in  Non-N  Non-S,11 Jun 2019,A00046
ASH_MR AzCr 111 MD V6,Non-in  Non-N  Non-S,11 Jun 2019,A00047
ASH_MR AzCr 112 MD V6,Non-in  Full-N  Full-S,11 Jun 2019,A00048
ASH_MR AzCr 201 MD V6,Non-in  Full-N  Full-S,11 Jun 2019,A00049
ASH_MR AzCr 202 MD V6,Non-in  Non-N  Full-S,11 Jun 2019,A00050
ASH_MR AzCr 203 MD V6,Non-in  Par-N  Full-S,11 Jun 2019,A00051
ASH_MR AzCr 204 MD V6,Azo-in  Par-N  Full-S,11 Jun 2019,A00052
ASH_MR AzCr 205 MD V6,Non-in  Full-N  Non-S,11 Jun 2019,A00053
ASH_MR AzCr 206 MD V6,Non-in  Par-N  Non-S,11 Jun 2019,A00054
ASH_MR AzCr 207 MD V6,Non-in  Non-N  Non-S,11 Jun 2019,A00055
ASH_MR AzCr 208 MD V6,Azo-in  Par-N  Non-S,11 Jun 2019,A00056
ASH_MR AzCr 209 MD V6,Azo-in  Full-N  Full-S,11 Jun 2019,A00057
ASH_MR AzCr 210 MD V6,Azo-in  Non-N  Full-S,11 Jun 2019,A00058
ASH_MR AzCr 211 MD V6,Azo-in  Non-N  Non-S,11 Jun 2019,A00059
ASH_MR AzCr 212 MD V6,Azo-in  Full-N  Non-S,11 Jun 2019,A00060
ASH_MR AzCr 401 MD V6,Azo-in  Par-N  Non-S,11 Jun 2019,A00061
ASH_MR AzCr 402 MD V6,Non-in  Par-N  Full-S,11 Jun 2019,A00062
ASH_MR AzCr 403 MD V6,Non-in  Par-N  Non-S,11 Jun 2019,A00063
ASH_MR AzCr 404 MD V6,Azo-in  Full-N  Non-S,11 Jun 2019,A00064
ASH_MR AzCr 405 MD V6,Azo-in  Par-N  Full-S,11 Jun 2019,A00065
ASH_MR AzCr 406 MD V6,Azo-in  Non-N  Full-S,11 Jun 2019,A00066
ASH_MR AzCr 407 MD V6,Non-in  Non-N  Non-S,11 Jun 2019,A00067
ASH_MR AzCr 408 MD V6,Azo-in  Non-N  Non-S,11 Jun 2019,A00068
ASH_MR AzCr 409 MD V6,Non-in  Full-N  Non-S,11 Jun 2019,A00069
ASH_MR AzCr 410 MD V6,Non-in  Full-N  Full-S,11 Jun 2019,A00070
ASH_MR AzCr 411 MD V6,Non-in  Non-N  Full-S,11 Jun 2019,A00071
ASH_MR AzCr 412 MD V6,Azo-in  Full-N  Full-S,11 Jun 2019,A00072
ASH_MR AzCr 101 LW V6,Azo-in  Full-N  Non-S,11 Jun 2019,A00073
ASH_MR AzCr 102 LW V6,Non-in  Full-N  Non-S,11 Jun 2019,A00074
ASH_MR AzCr 103 LW V6,Azo-in  Par-N  Non-S,11 Jun 2019,A00075
ASH_MR AzCr 104 LW V6,Azo-in  Par-N  Full-S,11 Jun 2019,A00076
ASH_MR AzCr 105 LW V6,Azo-in  Non-N  Full-S,11 Jun 2019,A00077
ASH_MR AzCr 106 LW V6,Non-in  Non-N  Full-S,11 Jun 2019,A00078
ASH_MR AzCr 107 LW V6,Non-in  Par-N  Non-S,11 Jun 2019,A00079
ASH_MR AzCr 108 LW V6,Non-in  Par-N  Full-S,11 Jun 2019,A00080
ASH_MR AzCr 109 LW V6,Azo-in  Full-N  Full-S,11 Jun 2019,A00081
ASH_MR AzCr 110 LW V6,Azo-in  Non-N  Non-S,11 Jun 2019,A00082
ASH_MR AzCr 111 LW V6,Non-in  Non-N  Non-S,11 Jun 2019,A00083
ASH_MR AzCr 112 LW V6,Non-in  Full-N  Full-S,11 Jun 2019,A00084
ASH_MR AzCr 201 LW V6,Non-in  Full-N  Full-S,11 Jun 2019,A00085
ASH_MR AzCr 202 LW V6,Non-in  Non-N  Full-S,11 Jun 2019,A00086
ASH_MR AzCr 203 LW V6,Non-in  Par-N  Full-S,11 Jun 2019,A00087
ASH_MR AzCr 204 LW V6,Azo-in  Par-N  Full-S,11 Jun 2019,A00088
ASH_MR AzCr 205 LW V6,Non-in  Full-N  Non-S,11 Jun 2019,A00089
ASH_MR AzCr 206 LW V6,Non-in  Par-N  Non-S,11 Jun 2019,A00090
ASH_MR AzCr 207 LW V6,Non-in  Non-N  Non-S,11 Jun 2019,A00091
ASH_MR AzCr 208 LW V6,Azo-in  Par-N  Non-S,11 Jun 2019,A00092
ASH_MR AzCr 209 LW V6,Azo-in  Full-N  Full-S,11 Jun 2019,A00093
ASH_MR AzCr 210 LW V6,Azo-in  Non-N  Full-S,11 Jun 2019,A00094
ASH_MR AzCr 211 LW V6,Azo-in  Non-N  Non-S,11 Jun 2019,A00095
ASH_MR AzCr 212 LW V6,Azo-in  Full-N  Non-S,11 Jun 2019,A00096
ASH_MR AzCr 401 LW V6,Azo-in  Par-N  Non-S,11 Jun 2019,A00097
ASH_MR AzCr 402 LW V6,Non-in  Par-N  Full-S,11 Jun 2019,A00098
ASH_MR AzCr 403 LW V6,Non-in  Par-N  Non-S,11 Jun 2019,A00099
ASH_MR AzCr 404 LW V6,Azo-in  Full-N  Non-S,11 Jun 2019,A00100
ASH_MR AzCr 405 LW V6,Azo-in  Par-N  Full-S,11 Jun 2019,A00101
ASH_MR AzCr 406 LW V6,Azo-in  Non-N  Full-S,11 Jun 2019,A00102
ASH_MR AzCr 407 LW V6,Non-in  Non-N  Non-S,11 Jun 2019,A00103
ASH_MR AzCr 408 LW V6,Azo-in  Non-N  Non-S,11 Jun 2019,A00104
ASH_MR AzCr 409 LW V6,Non-in  Full-N  Non-S,11 Jun 2019,A00105
ASH_MR AzCr 410 LW V6,Non-in  Full-N  Full-S,11 Jun 2019,A00106
ASH_MR AzCr 411 LW V6,Non-in  Non-N  Full-S,11 Jun 2019,A00107
ASH_MR AzCr 412 LW V6,Azo-in  Full-N  Full-S,11 Jun 2019,A00108
ASH_MR AzCr 101 SM V6,Azo-in  Full-N  Non-S,11 Jun 2019,A00109
ASH_MR AzCr 102 SM V6,Non-in  Full-N  Non-S,11 Jun 2019,A00110
ASH_MR AzCr 103 SM V6,Azo-in  Par-N  Non-S,11 Jun 2019,A00111
ASH_MR AzCr 104 SM V6,Azo-in  Par-N  Full-S,11 Jun 2019,A00112
ASH_MR AzCr 105 SM V6,Azo-in  Non-N  Full-S,11 Jun 2019,A00113
ASH_MR AzCr 106 SM V6,Non-in  Non-N  Full-S,11 Jun 2019,A00114
ASH_MR AzCr 107 SM V6,Non-in  Par-N  Non-S,11 Jun 2019,A00115
ASH_MR AzCr 108 SM V6,Non-in  Par-N  Full-S,11 Jun 2019,A00116
ASH_MR AzCr 109 SM V6,Azo-in  Full-N  Full-S,11 Jun 2019,A00117
ASH_MR AzCr 110 SM V6,Azo-in  Non-N  Non-S,11 Jun 2019,A00118
ASH_MR AzCr 111 SM V6,Non-in  Non-N  Non-S,11 Jun 2019,A00119
ASH_MR AzCr 112 SM V6,Non-in  Full-N  Full-S,11 Jun 2019,A00120
ASH_MR AzCr 201 SM V6,Non-in  Full-N  Full-S,11 Jun 2019,A00121
ASH_MR AzCr 202 SM V6,Non-in  Non-N  Full-S,11 Jun 2019,A00122
ASH_MR AzCr 203 SM V6,Non-in  Par-N  Full-S,11 Jun 2019,A00123
ASH_MR AzCr 204 SM V6,Azo-in  Par-N  Full-S,11 Jun 2019,A00124
ASH_MR AzCr 205 SM V6,Non-in  Full-N  Non-S,11 Jun 2019,A00125
ASH_MR AzCr 206 SM V6,Non-in  Par-N  Non-S,11 Jun 2019,A00126
ASH_MR AzCr 207 SM V6,Non-in  Non-N  Non-S,11 Jun 2019,A00127
ASH_MR AzCr 208 SM V6,Azo-in  Par-N  Non-S,11 Jun 2019,A00128
ASH_MR AzCr 209 SM V6,Azo-in  Full-N  Full-S,11 Jun 2019,A00129
ASH_MR AzCr 210 SM V6,Azo-in  Non-N  Full-S,11 Jun 2019,A00130
ASH_MR AzCr 211 SM V6,Azo-in  Non-N  Non-S,11 Jun 2019,A00131
ASH_MR AzCr 212 SM V6,Azo-in  Full-N  Non-S,11 Jun 2019,A00132
ASH_MR AzCr 401 SM V6,Azo-in  Par-N  Non-S,11 Jun 2019,A00133
ASH_MR AzCr 402 SM V6,Non-in  Par-N  Full-S,11 Jun 2019,A00134
ASH_MR AzCr 403 SM V6,Non-in  Par-N  Non-S,11 Jun 2019,A00135
ASH_MR AzCr 404 SM V6,Azo-in  Full-N  Non-S,11 Jun 2019,A00136
ASH_MR AzCr 405 SM V6,Azo-in  Par-N  Full-S,11 Jun 2019,A00137
ASH_MR AzCr 406 SM V6,Azo-in  Non-N  Full-S,11 Jun 2019,A00138
ASH_MR AzCr 407 SM V6,Non-in  Non-N  Non-S,11 Jun 2019,A00139
ASH_MR AzCr 408 SM V6,Azo-in  Non-N  Non-S,11 Jun 2019,A00140
ASH_MR AzCr 409 SM V6,Non-in  Full-N  Non-S,11 Jun 2019,A00141
ASH_MR AzCr 410 SM V6,Non-in  Full-N  Full-S,11 Jun 2019,A00142
ASH_MR AzCr 411 SM V6,Non-in  Non-N  Full-S,11 Jun 2019,A00143
ASH_MR AzCr 412 SM V6,Azo-in  Full-N  Full-S,11 Jun 2019,A00144
ASH_MR AzCr 101 RS V6,Azo-in  Full-N  Non-S,11 Jun 2019,A00145
ASH_MR AzCr 102 RS V6,Non-in  Full-N  Non-S,11 Jun 2019,A00146
ASH_MR AzCr 103 RS V6,Azo-in  Par-N  Non-S,11 Jun 2019,A00147
ASH_MR AzCr 104 RS V6,Azo-in  Par-N  Full-S,11 Jun 2019,A00148
ASH_MR AzCr 105 RS V6,Azo-in  Non-N  Full-S,11 Jun 2019,A00149
ASH_MR AzCr 106 RS V6,Non-in  Non-N  Full-S,11 Jun 2019,A00150
ASH_MR AzCr 107 RS V6,Non-in  Par-N  Non-S,11 Jun 2019,A00151
ASH_MR AzCr 108 RS V6,Non-in  Par-N  Full-S,11 Jun 2019,A00152
ASH_MR AzCr 109 RS V6,Azo-in  Full-N  Full-S,11 Jun 2019,A00153
ASH_MR AzCr 110 RS V6,Azo-in  Non-N  Non-S,11 Jun 2019,A00154
ASH_MR AzCr 111 RS V6,Non-in  Non-N  Non-S,11 Jun 2019,A00155
ASH_MR AzCr 112 RS V6,Non-in  Full-N  Full-S,11 Jun 2019,A00156
ASH_MR AzCr 201 RS V6,Non-in  Full-N  Full-S,11 Jun 2019,A00157
ASH_MR AzCr 202 RS V6,Non-in  Non-N  Full-S,11 Jun 2019,A00158
ASH_MR AzCr 203 RS V6,Non-in  Par-N  Full-S,11 Jun 2019,A00159
ASH_MR AzCr 204 RS V6,Azo-in  Par-N  Full-S,11 Jun 2019,A00160
ASH_MR AzCr 205 RS V6,Non-in  Full-N  Non-S,11 Jun 2019,A00161
ASH_MR AzCr 206 RS V6,Non-in  Par-N  Non-S,11 Jun 2019,A00162
ASH_MR AzCr 207 RS V6,Non-in  Non-N  Non-S,11 Jun 2019,A00163
ASH_MR AzCr 208 RS V6,Azo-in  Par-N  Non-S,11 Jun 2019,A00164
ASH_MR AzCr 209 RS V6,Azo-in  Full-N  Full-S,11 Jun 2019,A00165
ASH_MR AzCr 210 RS V6,Azo-in  Non-N  Full-S,11 Jun 2019,A00166
ASH_MR AzCr 211 RS V6,Azo-in  Non-N  Non-S,11 Jun 2019,A00167
ASH_MR AzCr 212 RS V6,Azo-in  Full-N  Non-S,11 Jun 2019,A00168
ASH_MR AzCr 401 RS V6,Azo-in  Par-N  Non-S,11 Jun 2019,A00169
ASH_MR AzCr 402 RS V6,Non-in  Par-N  Full-S,11 Jun 2019,A00170
ASH_MR AzCr 403 RS V6,Non-in  Par-N  Non-S,11 Jun 2019,A00171
ASH_MR AzCr 404 RS V6,Azo-in  Full-N  Non-S,11 Jun 2019,A00172
ASH_MR AzCr 405 RS V6,Azo-in  Par-N  Full-S,11 Jun 2019,A00173
ASH_MR AzCr 406 RS V6,Azo-in  Non-N  Full-S,11 Jun 2019,A00174
ASH_MR AzCr 407 RS V6,Non-in  Non-N  Non-S,11 Jun 2019,A00175
ASH_MR AzCr 408 RS V6,Azo-in  Non-N  Non-S,11 Jun 2019,A00176
ASH_MR AzCr 409 RS V6,Non-in  Full-N  Non-S,11 Jun 2019,A00177
ASH_MR AzCr 410 RS V6,Non-in  Full-N  Full-S,11 Jun 2019,A00178
ASH_MR AzCr 411 RS V6,Non-in  Non-N  Full-S,11 Jun 2019,A00179
ASH_MR AzCr 412 RS V6,Azo-in  Full-N  Full-S,11 Jun 2019,A00180
