tissue_info1,tissue_info2,tissue_info3,tissue_info4,tissue_info5,tissue_info6,tissue_ucode
Azos_Corn,ASH_MR,101,UP,V6,11 Jun 2019,A00001
Azos_Corn,ASH_MR,102,UP,V6,11 Jun 2019,A00002
Azos_Corn,ASH_MR,103,UP,V6,11 Jun 2019,A00003
Azos_Corn,ASH_MR,104,UP,V6,11 Jun 2019,A00004
Azos_Corn,ASH_MR,105,UP,V6,11 Jun 2019,A00005
Azos_Corn,ASH_MR,106,UP,V6,11 Jun 2019,A00006
Azos_Corn,ASH_MR,107,UP,V6,11 Jun 2019,A00007
Azos_Corn,ASH_MR,108,UP,V6,11 Jun 2019,A00008
Azos_Corn,ASH_MR,109,UP,V6,11 Jun 2019,A00009
Azos_Corn,ASH_MR,110,UP,V6,11 Jun 2019,A00010
Azos_Corn,ASH_MR,111,UP,V6,11 Jun 2019,A00011
Azos_Corn,ASH_MR,112,UP,V6,11 Jun 2019,A00012
Azos_Corn,ASH_MR,201,UP,V6,11 Jun 2019,A00013
Azos_Corn,ASH_MR,202,UP,V6,11 Jun 2019,A00014
Azos_Corn,ASH_MR,203,UP,V6,11 Jun 2019,A00015
Azos_Corn,ASH_MR,204,UP,V6,11 Jun 2019,A00016
Azos_Corn,ASH_MR,205,UP,V6,11 Jun 2019,A00017
Azos_Corn,ASH_MR,206,UP,V6,11 Jun 2019,A00018
Azos_Corn,ASH_MR,207,UP,V6,11 Jun 2019,A00019
Azos_Corn,ASH_MR,208,UP,V6,11 Jun 2019,A00020
Azos_Corn,ASH_MR,209,UP,V6,11 Jun 2019,A00021
Azos_Corn,ASH_MR,210,UP,V6,11 Jun 2019,A00022
Azos_Corn,ASH_MR,211,UP,V6,11 Jun 2019,A00023
Azos_Corn,ASH_MR,212,UP,V6,11 Jun 2019,A00024
Azos_Corn,ASH_MR,401,UP,V6,11 Jun 2019,A00025
Azos_Corn,ASH_MR,402,UP,V6,11 Jun 2019,A00026
Azos_Corn,ASH_MR,403,UP,V6,11 Jun 2019,A00027
Azos_Corn,ASH_MR,404,UP,V6,11 Jun 2019,A00028
Azos_Corn,ASH_MR,405,UP,V6,11 Jun 2019,A00029
Azos_Corn,ASH_MR,406,UP,V6,11 Jun 2019,A00030
Azos_Corn,ASH_MR,407,UP,V6,11 Jun 2019,A00031
Azos_Corn,ASH_MR,408,UP,V6,11 Jun 2019,A00032
Azos_Corn,ASH_MR,409,UP,V6,11 Jun 2019,A00033
Azos_Corn,ASH_MR,410,UP,V6,11 Jun 2019,A00034
Azos_Corn,ASH_MR,411,UP,V6,11 Jun 2019,A00035
Azos_Corn,ASH_MR,412,UP,V6,11 Jun 2019,A00036
Azos_Corn,ASH_MR,101,MD,V6,11 Jun 2019,A00037
Azos_Corn,ASH_MR,102,MD,V6,11 Jun 2019,A00038
Azos_Corn,ASH_MR,103,MD,V6,11 Jun 2019,A00039
Azos_Corn,ASH_MR,104,MD,V6,11 Jun 2019,A00040
Azos_Corn,ASH_MR,105,MD,V6,11 Jun 2019,A00041
Azos_Corn,ASH_MR,106,MD,V6,11 Jun 2019,A00042
Azos_Corn,ASH_MR,107,MD,V6,11 Jun 2019,A00043
Azos_Corn,ASH_MR,108,MD,V6,11 Jun 2019,A00044
Azos_Corn,ASH_MR,109,MD,V6,11 Jun 2019,A00045
Azos_Corn,ASH_MR,110,MD,V6,11 Jun 2019,A00046
