biomass_info1,biomass_info2,biomass_info3,biomass_ucode
ASH_MR AzCr 412 LW V12,Azo-in  Full-N  Full-S,10 Jul 2019,A00288
ASH_MR AzCr 101 SM V12,Azo-in  Full-N  Non-S,10 Jul 2019,A00289
ASH_MR AzCr 102 SM V12,Non-in  Full-N  Non-S,10 Jul 2019,A00290
ASH_MR AzCr 103 SM V12,Azo-in  Par-N  Non-S,10 Jul 2019,A00291
ASH_MR AzCr 104 SM V12,Azo-in  Par-N  Full-S,10 Jul 2019,A00292
ASH_MR AzCr 105 SM V12,Azo-in  Non-N  Full-S,10 Jul 2019,A00293
ASH_MR AzCr 106 SM V12,Non-in  Non-N  Full-S,10 Jul 2019,A00294
ASH_MR AzCr 107 SM V12,Non-in  Par-N  Non-S,10 Jul 2019,A00295
ASH_MR AzCr 108 SM V12,Non-in  Par-N  Full-S,10 Jul 2019,A00296
ASH_MR AzCr 109 SM V12,Azo-in  Full-N  Full-S,10 Jul 2019,A00297
ASH_MR AzCr 110 SM V12,Azo-in  Non-N  Non-S,10 Jul 2019,A00298
ASH_MR AzCr 111 SM V12,Non-in  Non-N  Non-S,10 Jul 2019,A00299
ASH_MR AzCr 112 SM V12,Non-in  Full-N  Full-S,10 Jul 2019,A00300
ASH_MR AzCr 201 SM V12,Non-in  Full-N  Full-S,10 Jul 2019,A00301
ASH_MR AzCr 202 SM V12,Non-in  Non-N  Full-S,10 Jul 2019,A00302
ASH_MR AzCr 203 SM V12,Non-in  Par-N  Full-S,10 Jul 2019,A00303
ASH_MR AzCr 204 SM V12,Azo-in  Par-N  Full-S,10 Jul 2019,A00304
ASH_MR AzCr 205 SM V12,Non-in  Full-N  Non-S,10 Jul 2019,A00305
ASH_MR AzCr 206 SM V12,Non-in  Par-N  Non-S,10 Jul 2019,A00306
ASH_MR AzCr 207 SM V12,Non-in  Non-N  Non-S,10 Jul 2019,A00307
ASH_MR AzCr 208 SM V12,Azo-in  Par-N  Non-S,10 Jul 2019,A00308
ASH_MR AzCr 209 SM V12,Azo-in  Full-N  Full-S,10 Jul 2019,A00309
ASH_MR AzCr 210 SM V12,Azo-in  Non-N  Full-S,10 Jul 2019,A00310
ASH_MR AzCr 211 SM V12,Azo-in  Non-N  Non-S,10 Jul 2019,A00311
ASH_MR AzCr 212 SM V12,Azo-in  Full-N  Non-S,10 Jul 2019,A00312
ASH_MR AzCr 401 SM V12,Azo-in  Par-N  Non-S,10 Jul 2019,A00313
ASH_MR AzCr 402 SM V12,Non-in  Par-N  Full-S,10 Jul 2019,A00314
ASH_MR AzCr 403 SM V12,Non-in  Par-N  Non-S,10 Jul 2019,A00315
ASH_MR AzCr 404 SM V12,Azo-in  Full-N  Non-S,10 Jul 2019,A00316
ASH_MR AzCr 405 SM V12,Azo-in  Par-N  Full-S,10 Jul 2019,A00317
ASH_MR AzCr 406 SM V12,Azo-in  Non-N  Full-S,10 Jul 2019,A00318
ASH_MR AzCr 407 SM V12,Non-in  Non-N  Non-S,10 Jul 2019,A00319
ASH_MR AzCr 408 SM V12,Azo-in  Non-N  Non-S,10 Jul 2019,A00320
ASH_MR AzCr 409 SM V12,Non-in  Full-N  Non-S,10 Jul 2019,A00321
ASH_MR AzCr 410 SM V12,Non-in  Full-N  Full-S,10 Jul 2019,A00322
ASH_MR AzCr 411 SM V12,Non-in  Non-N  Full-S,10 Jul 2019,A00323
ASH_MR AzCr 412 SM V12,Azo-in  Full-N  Full-S,10 Jul 2019,A00324
ASH_MR AzCr 101 RS V12,Azo-in  Full-N  Non-S,10 Jul 2019,A00325
ASH_MR AzCr 102 RS V12,Non-in  Full-N  Non-S,10 Jul 2019,A00326
ASH_MR AzCr 103 RS V12,Azo-in  Par-N  Non-S,10 Jul 2019,A00327
ASH_MR AzCr 104 RS V12,Azo-in  Par-N  Full-S,10 Jul 2019,A00328
ASH_MR AzCr 105 RS V12,Azo-in  Non-N  Full-S,10 Jul 2019,A00329
ASH_MR AzCr 106 RS V12,Non-in  Non-N  Full-S,10 Jul 2019,A00330
ASH_MR AzCr 107 RS V12,Non-in  Par-N  Non-S,10 Jul 2019,A00331
ASH_MR AzCr 108 RS V12,Non-in  Par-N  Full-S,10 Jul 2019,A00332
ASH_MR AzCr 109 RS V12,Azo-in  Full-N  Full-S,10 Jul 2019,A00333
ASH_MR AzCr 110 RS V12,Azo-in  Non-N  Non-S,10 Jul 2019,A00334
ASH_MR AzCr 111 RS V12,Non-in  Non-N  Non-S,10 Jul 2019,A00335
ASH_MR AzCr 112 RS V12,Non-in  Full-N  Full-S,10 Jul 2019,A00336
ASH_MR AzCr 201 RS V12,Non-in  Full-N  Full-S,10 Jul 2019,A00337
ASH_MR AzCr 202 RS V12,Non-in  Non-N  Full-S,10 Jul 2019,A00338
ASH_MR AzCr 203 RS V12,Non-in  Par-N  Full-S,10 Jul 2019,A00339
ASH_MR AzCr 204 RS V12,Azo-in  Par-N  Full-S,10 Jul 2019,A00340
ASH_MR AzCr 205 RS V12,Non-in  Full-N  Non-S,10 Jul 2019,A00341
ASH_MR AzCr 206 RS V12,Non-in  Par-N  Non-S,10 Jul 2019,A00342
ASH_MR AzCr 207 RS V12,Non-in  Non-N  Non-S,10 Jul 2019,A00343
ASH_MR AzCr 208 RS V12,Azo-in  Par-N  Non-S,10 Jul 2019,A00344
ASH_MR AzCr 209 RS V12,Azo-in  Full-N  Full-S,10 Jul 2019,A00345
ASH_MR AzCr 210 RS V12,Azo-in  Non-N  Full-S,10 Jul 2019,A00346
ASH_MR AzCr 211 RS V12,Azo-in  Non-N  Non-S,10 Jul 2019,A00347
ASH_MR AzCr 212 RS V12,Azo-in  Full-N  Non-S,10 Jul 2019,A00348
ASH_MR AzCr 401 RS V12,Azo-in  Par-N  Non-S,10 Jul 2019,A00349
ASH_MR AzCr 402 RS V12,Non-in  Par-N  Full-S,10 Jul 2019,A00350
ASH_MR AzCr 403 RS V12,Non-in  Par-N  Non-S,10 Jul 2019,A00351
ASH_MR AzCr 404 RS V12,Azo-in  Full-N  Non-S,10 Jul 2019,A00352
ASH_MR AzCr 405 RS V12,Azo-in  Par-N  Full-S,10 Jul 2019,A00353
ASH_MR AzCr 406 RS V12,Azo-in  Non-N  Full-S,10 Jul 2019,A00354
ASH_MR AzCr 407 RS V12,Non-in  Non-N  Non-S,10 Jul 2019,A00355
ASH_MR AzCr 408 RS V12,Azo-in  Non-N  Non-S,10 Jul 2019,A00356
ASH_MR AzCr 409 RS V12,Non-in  Full-N  Non-S,10 Jul 2019,A00357
ASH_MR AzCr 410 RS V12,Non-in  Full-N  Full-S,10 Jul 2019,A00358
ASH_MR AzCr 411 RS V12,Non-in  Non-N  Full-S,10 Jul 2019,A00359
ASH_MR AzCr 412 RS V12,Azo-in  Full-N  Full-S,10 Jul 2019,A00360
