biomass_info1,biomass_info2,biomass_info3,biomass_ucode
ASH_MR AzCr 101 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 102 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 103 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 104 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 105 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 106 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 107 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 108 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 109 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 110 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 111 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 112 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 201 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 202 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 203 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 204 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 205 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 206 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 207 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 208 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 209 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 210 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 211 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 212 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 401 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 402 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 403 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 404 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 405 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 406 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 407 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 408 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 409 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 410 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 411 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 412 FS V12,3-plant fresh sample,10 Jul 2019,
ASH_MR AzCr 101 UP V12,Azo-in  Full-N  Non-S,10 Jul 2019,A00181
ASH_MR AzCr 102 UP V12,Non-in  Full-N  Non-S,10 Jul 2019,A00182
ASH_MR AzCr 103 UP V12,Azo-in  Par-N  Non-S,10 Jul 2019,A00183
ASH_MR AzCr 104 UP V12,Azo-in  Par-N  Full-S,10 Jul 2019,A00184
ASH_MR AzCr 105 UP V12,Azo-in  Non-N  Full-S,10 Jul 2019,A00185
ASH_MR AzCr 106 UP V12,Non-in  Non-N  Full-S,10 Jul 2019,A00186
ASH_MR AzCr 107 UP V12,Non-in  Par-N  Non-S,10 Jul 2019,A00187
ASH_MR AzCr 108 UP V12,Non-in  Par-N  Full-S,10 Jul 2019,A00188
ASH_MR AzCr 109 UP V12,Azo-in  Full-N  Full-S,10 Jul 2019,A00189
ASH_MR AzCr 110 UP V12,Azo-in  Non-N  Non-S,10 Jul 2019,A00190
ASH_MR AzCr 111 UP V12,Non-in  Non-N  Non-S,10 Jul 2019,A00191
ASH_MR AzCr 112 UP V12,Non-in  Full-N  Full-S,10 Jul 2019,A00192
ASH_MR AzCr 201 UP V12,Non-in  Full-N  Full-S,10 Jul 2019,A00193
ASH_MR AzCr 202 UP V12,Non-in  Non-N  Full-S,10 Jul 2019,A00194
ASH_MR AzCr 203 UP V12,Non-in  Par-N  Full-S,10 Jul 2019,A00195
ASH_MR AzCr 204 UP V12,Azo-in  Par-N  Full-S,10 Jul 2019,A00196
ASH_MR AzCr 205 UP V12,Non-in  Full-N  Non-S,10 Jul 2019,A00197
ASH_MR AzCr 206 UP V12,Non-in  Par-N  Non-S,10 Jul 2019,A00198
ASH_MR AzCr 207 UP V12,Non-in  Non-N  Non-S,10 Jul 2019,A00199
ASH_MR AzCr 208 UP V12,Azo-in  Par-N  Non-S,10 Jul 2019,A00200
ASH_MR AzCr 209 UP V12,Azo-in  Full-N  Full-S,10 Jul 2019,A00201
ASH_MR AzCr 210 UP V12,Azo-in  Non-N  Full-S,10 Jul 2019,A00202
ASH_MR AzCr 211 UP V12,Azo-in  Non-N  Non-S,10 Jul 2019,A00203
ASH_MR AzCr 212 UP V12,Azo-in  Full-N  Non-S,10 Jul 2019,A00204
ASH_MR AzCr 401 UP V12,Azo-in  Par-N  Non-S,10 Jul 2019,A00205
ASH_MR AzCr 402 UP V12,Non-in  Par-N  Full-S,10 Jul 2019,A00206
ASH_MR AzCr 403 UP V12,Non-in  Par-N  Non-S,10 Jul 2019,A00207
ASH_MR AzCr 404 UP V12,Azo-in  Full-N  Non-S,10 Jul 2019,A00208
ASH_MR AzCr 405 UP V12,Azo-in  Par-N  Full-S,10 Jul 2019,A00209
ASH_MR AzCr 406 UP V12,Azo-in  Non-N  Full-S,10 Jul 2019,A00210
ASH_MR AzCr 407 UP V12,Non-in  Non-N  Non-S,10 Jul 2019,A00211
ASH_MR AzCr 408 UP V12,Azo-in  Non-N  Non-S,10 Jul 2019,A00212
ASH_MR AzCr 409 UP V12,Non-in  Full-N  Non-S,10 Jul 2019,A00213
ASH_MR AzCr 410 UP V12,Non-in  Full-N  Full-S,10 Jul 2019,A00214
ASH_MR AzCr 411 UP V12,Non-in  Non-N  Full-S,10 Jul 2019,A00215
ASH_MR AzCr 412 UP V12,Azo-in  Full-N  Full-S,10 Jul 2019,A00216
ASH_MR AzCr 101 MD V12,Azo-in  Full-N  Non-S,10 Jul 2019,A00217
ASH_MR AzCr 102 MD V12,Non-in  Full-N  Non-S,10 Jul 2019,A00218
ASH_MR AzCr 103 MD V12,Azo-in  Par-N  Non-S,10 Jul 2019,A00219
ASH_MR AzCr 104 MD V12,Azo-in  Par-N  Full-S,10 Jul 2019,A00220
ASH_MR AzCr 105 MD V12,Azo-in  Non-N  Full-S,10 Jul 2019,A00221
ASH_MR AzCr 106 MD V12,Non-in  Non-N  Full-S,10 Jul 2019,A00222
ASH_MR AzCr 107 MD V12,Non-in  Par-N  Non-S,10 Jul 2019,A00223
ASH_MR AzCr 108 MD V12,Non-in  Par-N  Full-S,10 Jul 2019,A00224
ASH_MR AzCr 109 MD V12,Azo-in  Full-N  Full-S,10 Jul 2019,A00225
ASH_MR AzCr 110 MD V12,Azo-in  Non-N  Non-S,10 Jul 2019,A00226
ASH_MR AzCr 111 MD V12,Non-in  Non-N  Non-S,10 Jul 2019,A00227
ASH_MR AzCr 112 MD V12,Non-in  Full-N  Full-S,10 Jul 2019,A00228
ASH_MR AzCr 201 MD V12,Non-in  Full-N  Full-S,10 Jul 2019,A00229
ASH_MR AzCr 202 MD V12,Non-in  Non-N  Full-S,10 Jul 2019,A00230
ASH_MR AzCr 203 MD V12,Non-in  Par-N  Full-S,10 Jul 2019,A00231
ASH_MR AzCr 204 MD V12,Azo-in  Par-N  Full-S,10 Jul 2019,A00232
ASH_MR AzCr 205 MD V12,Non-in  Full-N  Non-S,10 Jul 2019,A00233
ASH_MR AzCr 206 MD V12,Non-in  Par-N  Non-S,10 Jul 2019,A00234
ASH_MR AzCr 207 MD V12,Non-in  Non-N  Non-S,10 Jul 2019,A00235
ASH_MR AzCr 208 MD V12,Azo-in  Par-N  Non-S,10 Jul 2019,A00236
ASH_MR AzCr 209 MD V12,Azo-in  Full-N  Full-S,10 Jul 2019,A00237
ASH_MR AzCr 210 MD V12,Azo-in  Non-N  Full-S,10 Jul 2019,A00238
ASH_MR AzCr 211 MD V12,Azo-in  Non-N  Non-S,10 Jul 2019,A00239
ASH_MR AzCr 212 MD V12,Azo-in  Full-N  Non-S,10 Jul 2019,A00240
ASH_MR AzCr 401 MD V12,Azo-in  Par-N  Non-S,10 Jul 2019,A00241
ASH_MR AzCr 402 MD V12,Non-in  Par-N  Full-S,10 Jul 2019,A00242
ASH_MR AzCr 403 MD V12,Non-in  Par-N  Non-S,10 Jul 2019,A00243
ASH_MR AzCr 404 MD V12,Azo-in  Full-N  Non-S,10 Jul 2019,A00244
ASH_MR AzCr 405 MD V12,Azo-in  Par-N  Full-S,10 Jul 2019,A00245
ASH_MR AzCr 406 MD V12,Azo-in  Non-N  Full-S,10 Jul 2019,A00246
ASH_MR AzCr 407 MD V12,Non-in  Non-N  Non-S,10 Jul 2019,A00247
ASH_MR AzCr 408 MD V12,Azo-in  Non-N  Non-S,10 Jul 2019,A00248
ASH_MR AzCr 409 MD V12,Non-in  Full-N  Non-S,10 Jul 2019,A00249
ASH_MR AzCr 410 MD V12,Non-in  Full-N  Full-S,10 Jul 2019,A00250
ASH_MR AzCr 411 MD V12,Non-in  Non-N  Full-S,10 Jul 2019,A00251
ASH_MR AzCr 412 MD V12,Azo-in  Full-N  Full-S,10 Jul 2019,A00252
ASH_MR AzCr 101 LW V12,Azo-in  Full-N  Non-S,10 Jul 2019,A00253
ASH_MR AzCr 102 LW V12,Non-in  Full-N  Non-S,10 Jul 2019,A00254
ASH_MR AzCr 103 LW V12,Azo-in  Par-N  Non-S,10 Jul 2019,A00255
ASH_MR AzCr 104 LW V12,Azo-in  Par-N  Full-S,10 Jul 2019,A00256
ASH_MR AzCr 105 LW V12,Azo-in  Non-N  Full-S,10 Jul 2019,A00257
ASH_MR AzCr 106 LW V12,Non-in  Non-N  Full-S,10 Jul 2019,A00258
ASH_MR AzCr 107 LW V12,Non-in  Par-N  Non-S,10 Jul 2019,A00259
ASH_MR AzCr 108 LW V12,Non-in  Par-N  Full-S,10 Jul 2019,A00260
ASH_MR AzCr 109 LW V12,Azo-in  Full-N  Full-S,10 Jul 2019,A00261
ASH_MR AzCr 110 LW V12,Azo-in  Non-N  Non-S,10 Jul 2019,A00262
ASH_MR AzCr 111 LW V12,Non-in  Non-N  Non-S,10 Jul 2019,A00263
ASH_MR AzCr 112 LW V12,Non-in  Full-N  Full-S,10 Jul 2019,A00264
ASH_MR AzCr 201 LW V12,Non-in  Full-N  Full-S,10 Jul 2019,A00265
ASH_MR AzCr 202 LW V12,Non-in  Non-N  Full-S,10 Jul 2019,A00266
ASH_MR AzCr 203 LW V12,Non-in  Par-N  Full-S,10 Jul 2019,A00267
ASH_MR AzCr 204 LW V12,Azo-in  Par-N  Full-S,10 Jul 2019,A00268
ASH_MR AzCr 205 LW V12,Non-in  Full-N  Non-S,10 Jul 2019,A00269
ASH_MR AzCr 206 LW V12,Non-in  Par-N  Non-S,10 Jul 2019,A00270
ASH_MR AzCr 207 LW V12,Non-in  Non-N  Non-S,10 Jul 2019,A00271
ASH_MR AzCr 208 LW V12,Azo-in  Par-N  Non-S,10 Jul 2019,A00272
ASH_MR AzCr 209 LW V12,Azo-in  Full-N  Full-S,10 Jul 2019,A00273
ASH_MR AzCr 210 LW V12,Azo-in  Non-N  Full-S,10 Jul 2019,A00274
ASH_MR AzCr 211 LW V12,Azo-in  Non-N  Non-S,10 Jul 2019,A00275
ASH_MR AzCr 212 LW V12,Azo-in  Full-N  Non-S,10 Jul 2019,A00276
ASH_MR AzCr 401 LW V12,Azo-in  Par-N  Non-S,10 Jul 2019,A00277
ASH_MR AzCr 402 LW V12,Non-in  Par-N  Full-S,10 Jul 2019,A00278
ASH_MR AzCr 403 LW V12,Non-in  Par-N  Non-S,10 Jul 2019,A00279
ASH_MR AzCr 404 LW V12,Azo-in  Full-N  Non-S,10 Jul 2019,A00280
ASH_MR AzCr 405 LW V12,Azo-in  Par-N  Full-S,10 Jul 2019,A00281
ASH_MR AzCr 406 LW V12,Azo-in  Non-N  Full-S,10 Jul 2019,A00282
ASH_MR AzCr 407 LW V12,Non-in  Non-N  Non-S,10 Jul 2019,A00283
ASH_MR AzCr 408 LW V12,Azo-in  Non-N  Non-S,10 Jul 2019,A00284
ASH_MR AzCr 409 LW V12,Non-in  Full-N  Non-S,10 Jul 2019,A00285
ASH_MR AzCr 410 LW V12,Non-in  Full-N  Full-S,10 Jul 2019,A00286
ASH_MR AzCr 411 LW V12,Non-in  Non-N  Full-S,10 Jul 2019,A00287
